Ticker,Date/Time,OtC_Pct
CSSX5E.MI,30/09/2022,-0.0056
CSSX5E.MI,03/10/2022,-0.0218
CSSX5E.MI,04/10/2022,-0.0210
CSSX5E.MI,05/10/2022,0.0063
CSSX5E.MI,06/10/2022,0.0088
CSSX5E.MI,07/10/2022,0.0143
CSSX5E.MI,10/10/2022,-0.0005
CSSX5E.MI,11/10/2022,-0.0022
CSSX5E.MI,12/10/2022,-0.0003
CSSX5E.MI,13/10/2022,-0.0135
CSSX5E.MI,14/10/2022,0.0104
CSSX5E.MI,17/10/2022,-0.0128
CSSX5E.MI,18/10/2022,0.0035
CSSX5E.MI,19/10/2022,-0.0012
CSSX5E.MI,20/10/2022,-0.0100
CSSX5E.MI,21/10/2022,-0.0068
CSSX5E.MI,24/10/2022,-0.0041
CSSX5E.MI,25/10/2022,-0.0115
CSSX5E.MI,26/10/2022,-0.0093
CSSX5E.MI,27/10/2022,-0.0029
CSSX5E.MI,28/10/2022,-0.0114
CSSX5E.MI,31/10/2022,-0.0008
CSSX5E.MI,01/11/2022,0.0025
CSSX5E.MI,02/11/2022,0.0117
CSSX5E.MI,03/11/2022,-0.0014
CSSX5E.MI,04/11/2022,-0.0182
CSSX5E.MI,07/11/2022,-0.0102
CSSX5E.MI,08/11/2022,-0.0107
CSSX5E.MI,09/11/2022,0.0022
CSSX5E.MI,10/11/2022,-0.0376
CSSX5E.MI,11/11/2022,0.0004
CSSX5E.MI,14/11/2022,-0.0009
CSSX5E.MI,15/11/2022,-0.0055
CSSX5E.MI,16/11/2022,0.0076
CSSX5E.MI,17/11/2022,0.0050
CSSX5E.MI,18/11/2022,-0.0026
EEM,29/07/2022,-0.0083
EEM,01/08/2022,-0.0018
EEM,02/08/2022,-0.0041
EEM,03/08/2022,-0.0063
EEM,04/08/2022,-0.0005
EEM,05/08/2022,-0.0073
EEM,08/08/2022,0.0005
EEM,09/08/2022,0.0047
EEM,10/08/2022,-0.0057
EEM,11/08/2022,0.0042
EEM,12/08/2022,-0.0106
EEM,15/08/2022,-0.0042
EEM,16/08/2022,-0.0022
EEM,17/08/2022,-0.0007
EEM,18/08/2022,0.0020
EEM,19/08/2022,0.0045
EEM,22/08/2022,0.0008
EEM,23/08/2022,-0.0043
