Ticker,Date/Time,SIGNAL_MACD,MA_RSI,Close-To_Mid,Price
SET50,09/01/2009,-44.27,35.29,-58.61,323.00
SET50,16/01/2009,-42.83,35.84,-71.50,302.64
SET50,23/01/2009,-41.32,35.61,-70.05,300.72
SET50,30/01/2009,-39.72,35.58,-61.64,303.59
SET50,06/02/2009,-37.99,35.76,-49.89,309.27
SET50,13/02/2009,-36.17,35.66,-41.61,310.03
SET50,20/02/2009,-34.40,35.80,-47.49,300.62
SET50,27/02/2009,-32.68,35.95,-32.65,299.58
SET50,06/03/2009,-31.10,35.61,-19.31,290.50
SET50,13/03/2009,-29.58,35.31,-9.11,295.42
SET50,20/03/2009,-28.06,35.21,-5.67,298.86
SET50,27/03/2009,-26.45,36.12,3.43,307.96
SET50,03/04/2009,-24.76,37.40,7.81,312.34
SET50,10/04/2009,-22.97,39.46,14.04,318.57
SET50,17/04/2009,-21.14,41.31,15.94,320.47
SET50,24/04/2009,-19.18,43.80,26.50,332.83
SET50,30/04/2009,-17.05,46.52,34.11,346.81
SET50,07/05/2009,-14.56,50.42,59.60,374.94
SET50,15/05/2009,-11.87,54.10,48.01,380.02
SET50,22/05/2009,-9.00,58.26,55.73,394.21
SET50,29/05/2009,-6.09,61.70,54.83,398.36
SET50,05/06/2009,-2.89,65.52,90.14,434.11
SET50,12/06/2009,0.57,68.40,96.19,454.61
SET50,19/06/2009,3.71,68.86,51.24,423.47
SET50,26/06/2009,6.53,68.90,57.20,429.43
SET50,03/07/2009,8.89,68.06,46.29,418.52
SET50,10/07/2009,10.65,65.04,31.46,403.69
SET50,17/07/2009,12.19,62.42,56.09,428.32
SET50,24/07/2009,13.64,62.48,69.89,442.12
SET50,31/07/2009,15.00,62.59,77.06,449.91
SET50,07/08/2009,16.41,63.95,89.84,467.05
SET50,14/08/2009,17.80,66.41,89.02,473.31
SET50,21/08/2009,18.97,67.17,76.79,462.83
SET50,28/08/2009,19.99,67.71,79.92,470.69
SET50,04/09/2009,20.88,68.21,82.69,477.03
SET50,11/09/2009,21.93,69.11,107.62,508.20
SET50,18/09/2009,23.03,69.89,90.64,510.85
SET50,25/09/2009,24.10,71.50,80.91,514.76
SET50,02/10/2009,25.07,72.94,71.36,517.83
SET50,09/10/2009,26.06,74.61,87.66,534.30
SET50,16/10/2009,26.72,73.56,50.60,512.09
SET50,22/10/2009,26.98,71.80,34.52,503.40
SET50,30/10/2009,26.70,68.63,14.80,483.67
SET50,06/11/2009,26.12,65.77,24.23,493.10
SET50,13/11/2009,25.31,62.37,22.88,491.75
SET50,20/11/2009,24.29,60.42,18.13,487.00
SET50,27/11/2009,22.99,58.36,7.32,476.19
SET50,04/12/2009,21.72,58.46,23.67,492.55
SET50,11/12/2009,20.50,58.24,8.84,494.44
SET50,18/12/2009,19.41,58.54,13.60,503.29
SET50,25/12/2009,18.57,59.81,21.12,517.01
SET50,30/12/2009,17.93,61.96,24.80,520.69
SET50,08/01/2010,17.45,63.42,27.81,523.70
SET50,15/01/2010,17.10,64.98,25.70,527.85
SET50,22/01/2010,16.53,64.00,0.27,502.42
SET50,29/01/2010,15.70,61.57,-14.47,490.77
SET50,05/02/2010,14.63,58.63,-19.81,485.43
SET50,12/02/2010,13.49,55.83,-15.51,489.73
SET50,19/02/2010,12.33,52.92,-14.29,490.95
SET50,26/02/2010,11.37,53.18,2.44,507.68
SET50,05/03/2010,10.57,54.33,3.82,509.06
SET50,12/03/2010,9.99,56.35,17.01,517.84
SET50,19/03/2010,9.89,59.57,47.32,548.15
SET50,26/03/2010,10.10,62.79,41.39,550.29
SET50,02/04/2010,10.68,65.66,52.94,568.36
SET50,09/04/2010,11.35,67.66,38.71,559.70
SET50,16/04/2010,11.58,66.15,-7.65,518.43
SET50,23/04/2010,11.64,63.89,3.33,532.83
SET50,30/04/2010,11.63,61.81,9.42,538.93
SET50,07/05/2010,11.58,59.16,12.05,541.56
SET50,14/05/2010,11.46,57.12,9.58,539.08
SET50,19/05/2010,11.23,57.84,6.65,536.16
SET50,27/05/2010,10.69,56.37,-15.46,514.05
SET50,04/06/2010,10.20,55.96,8.77,538.27
SET50,11/06/2010,9.71,55.13,4.26,533.76
SET50,18/06/2010,9.37,55.23,19.11,548.62
SET50,25/06/2010,9.12,55.48,18.13,547.63
SET50,02/07/2010,8.95,57.38,21.21,550.71
SET50,09/07/2010,8.93,58.44,27.71,560.33
SET50,16/07/2010,8.99,59.85,22.81,561.52
SET50,23/07/2010,9.20,60.97,28.01,570.66
SET50,30/07/2010,9.60,62.79,41.18,583.83
SET50,06/08/2010,10.22,64.98,51.25,596.27
SET50,11/08/2010,10.82,65.71,35.10,585.73
SET50,20/08/2010,11.63,67.39,59.65,610.28
SET50,27/08/2010,12.51,68.65,53.72,611.43
SET50,03/09/2010,13.66,70.16,79.39,637.42
SET50,10/09/2010,14.87,70.98,64.95,635.62
SET50,17/09/2010,16.00,72.49,56.71,632.74
SET50,24/09/2010,17.24,73.70,78.84,654.87
SET50,01/10/2010,18.67,75.44,96.01,676.23
SET50,08/10/2010,20.02,75.38,75.93,666.06
SET50,15/10/2010,21.48,76.18,100.11,692.32
SET50,22/10/2010,22.84,76.73,81.37,686.13
SET50,29/10/2010,23.93,75.84,68.57,677.52
SET50,05/11/2010,25.25,75.64,111.86,726.09
SET50,12/11/2010,26.41,74.99,68.81,706.72
SET50,19/11/2010,27.28,73.28,60.96,701.41
SET50,26/11/2010,27.74,71.23,46.04,688.30
SET50,03/12/2010,28.19,70.91,77.32,721.50
SET50,09/12/2010,28.57,69.33,76.32,721.88
SET50,17/12/2010,28.72,68.48,56.45,712.13
SET50,24/12/2010,28.64,67.94,53.64,711.65
SET50,30/12/2010,28.44,68.57,62.18,720.19
SET50,07/01/2011,28.13,68.23,62.78,721.31
SET50,14/01/2011,27.66,67.54,48.85,717.03
SET50,21/01/2011,26.84,66.10,22.66,698.12
SET50,28/01/2011,25.59,63.61,3.51,681.45
SET50,04/02/2011,24.12,61.07,8.21,686.15
SET50,11/02/2011,22.20,56.80,-27.21,656.27
SET50,17/02/2011,20.46,54.71,2.60,694.97
SET50,25/02/2011,18.80,53.72,-3.02,689.35
SET50,04/03/2011,17.31,54.08,3.09,695.46
SET50,11/03/2011,16.05,54.58,11.88,704.25
SET50,18/03/2011,14.95,56.70,10.47,702.84
SET50,25/03/2011,14.25,58.05,36.01,728.38
SET50,01/04/2011,14.05,60.46,57.74,750.11
SET50,08/04/2011,14.32,63.10,66.00,765.81
SET50,12/04/2011,14.86,65.38,56.98,767.00
SET50,22/04/2011,15.69,68.23,72.51,782.52
SET50,29/04/2011,16.51,69.14,52.95,770.69
SET50,06/05/2011,16.89,67.24,20.04,737.78
SET50,13/05/2011,17.21,65.82,46.29,764.04
SET50,20/05/2011,17.33,63.79,36.04,753.79
SET50,27/05/2011,17.22,61.05,31.54,749.28
SET50,03/06/2011,16.85,58.63,22.11,739.86
SET50,10/06/2011,15.97,56.86,-6.02,711.73
SET50,17/06/2011,14.74,54.03,-8.03,709.71
SET50,24/06/2011,13.37,51.99,-3.72,714.02
SET50,30/06/2011,12.12,50.98,12.04,729.78
SET50,08/07/2011,11.33,51.90,37.42,763.35
SET50,14/07/2011,10.78,53.84,21.05,756.45
SET50,22/07/2011,10.73,56.96,50.22,786.99
SET50,29/07/2011,11.04,60.10,51.79,794.01
SET50,05/08/2011,11.21,60.68,15.11,761.15
SET50,11/08/2011,10.99,58.81,-12.72,738.08
SET50,19/08/2011,10.56,57.52,-7.94,742.86
SET50,26/08/2011,9.77,54.23,-28.96,721.84
SET50,02/09/2011,8.98,51.59,-8.50,742.30
SET50,09/09/2011,8.19,50.60,-11.07,739.73
SET50,16/09/2011,7.17,49.75,-32.16,718.64
SET50,23/09/2011,5.50,46.94,-83.78,667.02
SET50,30/09/2011,3.13,44.22,-93.96,636.30
SET50,07/10/2011,0.41,40.62,-67.89,636.07
SET50,14/10/2011,-2.00,38.87,-21.28,673.43
SET50,21/10/2011,-4.40,37.19,-49.91,644.80
SET50,28/10/2011,-6.16,39.08,-2.72,691.99
SET50,04/11/2011,-7.58,41.30,-19.10,675.61
SET50,11/11/2011,-8.63,43.79,-11.70,683.01
SET50,18/11/2011,-9.29,44.77,-5.91,688.80
SET50,25/11/2011,-9.81,46.12,-19.11,675.60
SET50,02/12/2011,-9.65,47.38,29.52,724.23
SET50,09/12/2011,-9.02,49.18,31.21,725.92
SET50,16/12/2011,-8.10,50.74,31.78,726.49
SET50,23/12/2011,-6.99,52.12,33.26,727.97
SET50,30/12/2011,-5.91,53.54,42.23,718.40
SET50,06/01/2012,-4.80,53.54,49.52,725.69
SET50,13/01/2012,-3.66,53.68,60.22,730.40
SET50,20/01/2012,-2.46,54.17,69.38,739.56
SET50,27/01/2012,-1.13,55.10,86.12,752.18
SET50,03/02/2012,0.41,57.07,100.30,768.96
SET50,10/02/2012,2.14,59.17,104.59,781.21
SET50,17/02/2012,4.05,61.52,109.12,794.86
SET50,24/02/2012,6.13,63.92,117.84,808.27
SET50,02/03/2012,8.34,66.19,103.25,821.18
SET50,09/03/2012,10.44,67.43,84.03,814.89
SET50,16/03/2012,12.62,68.93,98.57,838.44
SET50,23/03/2012,14.73,70.07,89.15,841.76
